id,temperature,humidity,created_at
5,36.1,62,"2025-12-31 09:22:10"
6,34.8,58.2,"2025-12-31 09:17:10"
7,37.2,65.5,"2025-12-31 09:12:10"
8,38,70.1,"2025-12-31 09:07:10"
9,33.5,55.4,"2025-12-31 09:02:10"
10,35.9,61.8,"2025-12-31 08:57:10"
11,36.5,63.2,"2025-12-31 08:52:10"
12,39.1,72.5,"2025-12-31 08:47:10"
13,34.2,59,"2025-12-31 08:42:10"
14,36.6,67.76,"2025-12-31 10:07:27"
15,32.5,65.2,"2025-12-31 10:37:18"
16,38.5,70.2,"2025-12-31 10:37:19"
17,29.01,67.92,"2025-12-31 12:22:41"
18,29.04,68.09,"2025-12-31 12:22:43"
19,29,67.87,"2025-12-31 12:22:45"
20,29.03,68.24,"2025-12-31 12:22:47"
21,29.03,68.38,"2025-12-31 12:22:49"
22,29.03,68.37,"2025-12-31 12:22:51"
23,29.05,68.62,"2025-12-31 12:22:53"
24,29.04,68.45,"2025-12-31 12:22:55"
25,29.05,68.34,"2025-12-31 12:22:57"
26,29.07,68.62,"2025-12-31 12:22:59"
27,29.08,68.7,"2025-12-31 12:23:01"
28,29.08,67.87,"2025-12-31 12:23:04"
29,29.06,66.99,"2025-12-31 12:23:06"
30,29.05,66.81,"2025-12-31 12:23:08"
31,29.04,66.25,"2025-12-31 12:23:10"
32,29.04,66.01,"2025-12-31 12:23:15"
33,29.03,65.72,"2025-12-31 12:23:16"
34,29.02,65.33,"2025-12-31 12:23:17"
35,29.02,64.93,"2025-12-31 12:23:18"
36,29.01,64.66,"2025-12-31 12:23:20"
37,29.04,64.77,"2025-12-31 12:23:22"
38,29.02,64.5,"2025-12-31 12:23:25"
39,29,64.32,"2025-12-31 12:23:26"
40,29.02,64.19,"2025-12-31 12:23:29"
41,28.99,63.86,"2025-12-31 12:23:31"
42,28.99,63.53,"2025-12-31 12:23:33"
43,29,63.25,"2025-12-31 12:23:35"
44,29,64.51,"2025-12-31 12:23:37"
45,29.01,64.84,"2025-12-31 12:23:39"
46,29.01,64.99,"2025-12-31 12:23:41"
47,29.02,64.74,"2025-12-31 12:23:43"
48,29.01,64.44,"2025-12-31 12:23:45"
49,28.98,64.05,"2025-12-31 12:23:47"
50,28.97,63.65,"2025-12-31 12:23:49"
51,28.97,63.51,"2025-12-31 12:23:53"
52,29.01,63.82,"2025-12-31 12:23:54"
53,29.03,64.11,"2025-12-31 12:23:56"
54,29.06,64.67,"2025-12-31 12:23:58"
55,29.09,64.67,"2025-12-31 12:24:00"
56,29.14,65.41,"2025-12-31 12:24:02"
57,29.24,66.66,"2025-12-31 12:24:04"
58,29.29,66.93,"2025-12-31 12:24:06"
59,29.37,67.92,"2025-12-31 12:24:08"
60,29.51,69.02,"2025-12-31 12:24:13"
61,29.61,69.46,"2025-12-31 12:24:14"
62,30.11,72.6,"2025-12-31 12:24:15"
63,31.05,89.11,"2025-12-31 12:24:16"
64,32.48,100,"2025-12-31 12:24:19"
65,31.87,91.83,"2025-12-31 12:24:21"
66,31.83,87.37,"2025-12-31 12:24:23"
67,31.63,87.52,"2025-12-31 12:24:25"
68,30.72,81.02,"2025-12-31 12:24:28"
69,30.28,76.42,"2025-12-31 12:24:30"
70,29.97,72.71,"2025-12-31 12:24:31"
71,29.75,70.23,"2025-12-31 12:24:33"
72,29.7,67.84,"2025-12-31 12:24:36"
73,29.7,67.14,"2025-12-31 12:24:38"
74,29.69,66.16,"2025-12-31 12:24:41"
75,29.77,66.79,"2025-12-31 12:24:42"
76,29.78,66.08,"2025-12-31 12:24:45"
77,29.76,64.85,"2025-12-31 12:24:47"
78,29.74,63.89,"2025-12-31 12:24:49"
79,29.71,63.18,"2025-12-31 12:24:51"
80,29.7,62.59,"2025-12-31 12:24:53"
81,29.66,62.1,"2025-12-31 12:24:55"
82,29.66,62.49,"2025-12-31 12:24:57"
83,29.64,62.07,"2025-12-31 12:24:59"
84,29.61,61.73,"2025-12-31 12:25:01"
85,29.6,61.92,"2025-12-31 12:25:03"
86,29.62,61.74,"2025-12-31 12:25:05"
87,29.6,61.91,"2025-12-31 12:25:07"
88,29.63,63.29,"2025-12-31 12:25:10"
89,29.66,64.13,"2025-12-31 12:25:12"
90,29.66,64.86,"2025-12-31 12:25:14"
91,29.65,65.09,"2025-12-31 12:25:16"
92,29.67,65.72,"2025-12-31 12:25:18"
93,29.7,65.78,"2025-12-31 12:25:20"
94,29.68,66.31,"2025-12-31 12:25:22"
95,29.66,65.67,"2025-12-31 12:25:24"
96,29.61,64.79,"2025-12-31 12:25:26"
97,29.58,63.84,"2025-12-31 12:25:28"
98,29.6,64.41,"2025-12-31 12:25:30"
99,29.6,64.58,"2025-12-31 12:25:32"
100,29.58,65.07,"2025-12-31 12:25:34"
101,29.55,64.81,"2025-12-31 12:25:37"
102,29.54,64.13,"2025-12-31 12:25:39"
103,29.55,63.67,"2025-12-31 12:25:41"
104,29.52,63.36,"2025-12-31 12:25:43"
105,29.53,63.07,"2025-12-31 12:25:45"
106,29.49,62.64,"2025-12-31 12:25:47"
107,29.51,62.63,"2025-12-31 12:25:49"
108,29.52,63.08,"2025-12-31 12:25:51"
109,29.5,63.05,"2025-12-31 12:25:53"
110,29.49,63.67,"2025-12-31 12:25:55"
111,29.5,64.08,"2025-12-31 12:25:57"
112,29.46,63.54,"2025-12-31 12:26:01"
113,29.44,63,"2025-12-31 12:26:03"
114,29.42,62.9,"2025-12-31 12:26:04"
